VM Backup,,,,,,,,,,,
Generated on: Oct 5,2023, 8:10:19 PM,,,,,,,,,
,,,,,,,,,,,
Details,,,,,,,,,,,
VM,Virtualization Client,Backup Time (Last Successful),Backup Type (Last Successful),VM Backup Size(GB),VM Guest Size(GB),Schedule Policy,,,,,
TECHWARCNV57,10.10.10.100,"Oct 5, 2023, 03:09:12 PM",Incremental,6,326.02,AWS-Azure_SCH_12Hr_Incremental_Wed_15_Wkly Synthetic,,,,,
TECHJRPTCNV01,10.10.10.100,"Oct 1, 2023, 09:51:01 PM",Incremental,0.3,6.08,AWS-Azure_SCH_Wkly_Incremental_Sun_19_Mntly Synthetic,,,,,
TECHWARCNV30,10.10.10.100,"Oct 5, 2023, 07:20:45 PM",Incremental,5.23,40.15,AWS-Azure_SCH_12Hr_Incremental_Sun_19_Wkly Synthetic,,,,,
TECHWARCNV31,10.10.10.100,"Sep 29, 2023, 10:47:00 AM",Incremental,5.68,165.36,AWS-Azure_SCH_Wkly_Incremental_Fri_09_Mntly Synthetic,,,,,
TECHWARCNV11,10.10.10.100,"Oct 4, 2023, 10:20:06 PM",Incremental,13.59,161.48,AWS-Azure_SCH_Dly_Incremental_Thu_22_Wkly Synthetic,,,,,
TECHWARCNV51,10.10.10.116,"Oct 5, 2023, 02:26:25 PM",Incremental,5.73,162.15,AWS-Azure_SCH_12Hr_Incremental_Tue_14_Wkly Synthetic,,,,,
TECHWARCNV53,10.10.10.116,"Oct 5, 2023, 02:26:25 PM",Incremental,5.44,167.33,AWS-Azure_SCH_12Hr_Incremental_Tue_14_Wkly Synthetic,,,,,
TECHWARCNV20,10.10.10.125,"Oct 5, 2023, 05:07:16 PM",Incremental,2.06,140.05,AWS-Azure_SCH_12Hr_Incremental_Fri_17_Wkly Synthetic,,,,,
TECHWARCNV23,10.10.10.125,"Oct 5, 2023, 05:12:29 PM",Incremental,1.72,230.25,AWS-Azure_SCH_12Hr_Incremental_Fri_17_Wkly Synthetic,,,,,
TECHLLMCNV01,10.10.10.176,"Oct 5, 2023, 12:36:28 AM",Incremental,0.14,53.05,AWS-Azure_SCH_Dly_Incremental_Wed_21_Wkly Synthetic,,,,,
TECHWARCNV56,10.10.10.176,"Oct 4, 2023, 08:17:12 PM",Incremental,8.11,477.84,AWS-Azure_SCH_Dly_Incremental_Mon_20_Wkly Synthetic,,,,,
TECHWARCNV34,10.10.10.179,"Oct 5, 2023, 03:13:05 PM",Incremental,5.79,152.93,AWS-Azure_SCH_12Hr_Incremental_Wed_15_Wkly Synthetic,,,,,
TECHWARCNV41,10.10.200.100,"Oct 5, 2023, 12:32:36 AM",Incremental,5.49,261.56,AWS-Azure_SCH_Dly_Incremental_Sun_24_Wkly Synthetic,,,,,
TECHAPPCNV01,sbuhvmcnp01,"Sep 26, 2023, 06:03:56 PM",Incremental,1.85,50.58,,,,,,
TECHWARCNV35,10.10.10.194,"Oct 5, 2023, 06:07:37 PM",Incremental,4.26,137.33,AWS-Azure_SCH_8Hr_Incremental_Tue_10_Wkly Synthetic,,,,,
TECHWARCNV18,10.10.200.100,"Oct 4, 2023, 10:29:26 PM",Incremental,54.83,468.48,AWS-Azure_SCH_Dly_Incremental_Thu_22_Wkly Synthetic,,,,,
TECHRMSBLV01,HCI-SIFY-BLR,"Oct 4, 2023, 10:20:04 PM",Incremental,2.57,39.65,AWS-Azure_SCH_Dly_Incremental_Thu_22_Wkly Synthetic,,,,,
TECHWASBLV01,HCI-SIFY-BLR,"Oct 4, 2023, 10:20:04 PM",Incremental,2.38,34.88,AWS-Azure_SCH_Dly_Incremental_Thu_22_Wkly Synthetic,,,,,
TECHLOCSCNV01,10.10.200.100,"Oct 3, 2023, 02:23:07 AM",Incremental,5.82,46.91,AWS-Azure_SCH_Wkly_Incremental_Tue_02_Mntly Synthetic,,,,,
TECHNETCNV01,10.10.200.100,"Oct 5, 2023, 05:12:38 PM",Incremental,6.84,131.2,AWS-Azure_SCH_12Hr_Incremental_Fri_17_Wkly Synthetic,,,,,
TECHWARCNV04,10.10.200.100,"Oct 5, 2023, 12:35:37 AM",Incremental,8.05,965.98,AWS-Azure_SCH_Dly_Incremental_Sun_24_Wkly Synthetic,,,,,
,,,,,,,,,,,
Host Socket Details,,,,,,,,,,,
Virtualization Host,Socket Count,Job id,,,,,,,,,
10.10.10.120,2,1818949,,,,,,,,,
10.10.200.11,2,1818233,,,,,,,,,
10.10.200.13,2,1818033,,,,,,,,,
10.10.80.11,2,1818053,,,,,,,,,
CISHVMCNP08,2,1818987,,,,,,,,,
IMGDESXBASE05.rsimail.rsil.ramco.com,2,1818944,,,,,,,,,
LENOVOTHINKSR65,2,1819035,,,,,,,,,
localhost.localdomain,2,1818844,,,,,,,,,
SBUHVMCNP01,2,1808603,,,,,,,,,
